MATH1823,UCOL1022,HIST1483,BIOL1124,FMS 1013,HIST1483B,MATH1823B
AERO1011,AERO1300,CHEM1315,ENGR1411,PSY 1113,MATH1914,MATH1914B
DRAM1713,HES 1121,PHIL1013,ENGR1411,PHYS2524,RELS2303,PHYS2524B
B AD1001,COMM1113,ENGL1113,ASTR1504,DANC1713,ECON1123,ASTR1504B
CHEM1315,MATH1503,SOC 1113,ENGR1411,FMS 1013,CHEM1315B,ENGR1411B
CHEM1315,DANC1713,MATH1523,PSY 1113,UCOL1022,CHEM1315B,.
MUNM1113,MATH1503,UCOL1002,BIOL1124,PSY 1113,BIOL1124B,.
CHEM1315,MATH1914,MUNM1113,CHEM1315B,MATH1914B,.,.
GEOG1103,GEOL1104,MATH1473,SOC 1113,ENGL1213,METR2603,GEOL1104B
COMM2613,ECON1123,ENGL1113,MATH1743,PSY 1113,ECON1123B,.
ANTH1913,DANC1813,DRAM1713,AHS 1400,MATH1523,ENGL1113,DRAM1713B
ECON1113,HES 1021,MATH1743,MUNM1113,SPAN1225,ECON1113B,.
CHEM1315,CEES1112,MUNM1022,ENGR1410,MATH1523,CHEM1315B,.
C S 2334,C S 2603,ENGR1411,MATH1914,COMM2613,MATH1914B,ENGR1411B
COMM1113,ECON1113,HES 2823,MUNM1743,COMM1113B,ECON1113B,.
ECON1123,MATH1743,SPAN2113,HIST1483,MUNM2313,HIST1483B,ECON1123B
CHEM1315,CEES1112,GEOG1103,HIST1483,ENGR1410,MATH1914,CHEM1315B
AHS 1400,P SC1113,UCOL1002,MATH1523,BIOL1114,BIOL1121,P SC1113B
ECON1123,HES 1823,MATH1643,FMS 1013,HES 2212,UCOL1022,ECON1123B
CHEM1315,METR1111,ENGL1113,MATH1523,HIST1233,CHEM1315B,.
CHEM3053,EXPO1213,ENGR1410,MATH1914,ECON1123,MATH1914B,.
DANC2412,ITAL1115,SOC 1113,BIOL1114,BIOL1121,.,.
ENGL1113,MATH1643,NAS 1013,UCOL1002,ECON1123,.,.
SOC 1113,ENGR1411,CHEM1315,MATH1914,CHEM1315B,MATH1914B,ENGR1411B
CHEM1315,A HI1113,ENGR1411,P SC1113,MATH1914,P SC1113B,CHEM1315B
CHEM1315,CHIN1115,ENGL2773,PSY 2403,CHEM1315B,.,.
ENGL1113,SOC 1113,FMS 1013,UCOL1002,COMM1113,DMAT0113,.
ENGL1113,PSY 1113,BIOL1114,BIOL1121,PSY 2003,PSY 2003B,.
CHEM1315,SPAN1115,SOC 1113,MATH1914,MATH1914B,CHEM1315B,.
MATH1523,PSY 1113,CHEM1315,ENGL1113,ENGR1411,CHEM1315B,ENGR1411B
COMM2003,JMC 1013,SPAN1115,GEOG1114,GEOG1114B,.,.
